taxid	kingdom	phylum	class	order	family	genus	species
877507		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	Epichloe festucae
879315		Pseudomonadota	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella	uncultured Sneathiella sp.
880073		Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi
88138		Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Modestobacter	
881616		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Herbiconiux	
88271		Chlorophyta	Picocystophyceae	Picocystales	Picocystaceae	Picocystis	Picocystis salinarum
88274			Deltaproteobacteria				delta proteobacterium NaphS2
88404		Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae		
88456		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora	Cyclospora cayetanensis
886343		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium spongiae
887464		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces laculatispora
888830		Myxococcota		Polyangiales	Polyangiaceae	Aetherobacter	Aetherobacter fasciculatus
888997		Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	Calothrix rhizosoleniae
889268		Myxococcota		Nannocystales	Nannocystaceae	Nannocystis	Nannocystis pusilla
89044			Chrysophyceae	Chromulinales	Chromulinaceae	Spumella	Spumella elongata
89139		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia byssochlamydoides
893		Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	
90426		Methanobacteriota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix sp.
90427		Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus sp.
904362		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Apatococcus	
904363		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Apatococcus	Apatococcus lobatus
904715		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jejuensis
905079			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	Guillardia theta
907463		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Longimycelium	Longimycelium tulufanense
908935		Actinomycetota	Actinomycetes	Micrococcales	Dermacoccaceae	Yimella	
908966		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Parasediminibacterium	Parasediminibacterium paludis
909625		Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter aplysinae
90964		Bacillota	Bacilli	Caryophanales	Staphylococcaceae		
909929		Bacillota	Negativicutes	Selenomonadales			
909930		Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae		
910038		Candidatus Aminicenantota					
910454		Cyanobacteriota	Cyanophyceae	Chroococcales	Prochloraceae	Prochloron	Prochloron didemni
91061		Bacillota	Bacilli				
91324		Cercozoa	Chlorarachniophyceae			Lotharella	Lotharella globosa
91347		Pseudomonadota	Gammaproteobacteria	Enterobacterales			
913774		Ascomycota	Leotiomycetes		Myxotrichaceae	Oidiodendron	Oidiodendron maius
913853		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix hoggarensis
914		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	
914153		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Salinimonas	Salinimonas lutimaris
91835		Streptophyta	Magnoliopsida				
91914		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Asaia	
91915		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Asaia	Asaia bogorensis
91943		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea werneckii
92644		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces malaysiensis
926830		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Haloechinothrix	Haloechinothrix salitolerans
92696		Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	Steccherinum ochraceum
927083		Myxococcota		Polyangiales	Sandaracinaceae	Sandaracinus	Sandaracinus amylolyticus
92713		Chlamydiota	Chlamydiia	Parachlamydiales	Parachlamydiaceae		
927664		Bacteroidota	Cytophagia	Cytophagales	Flexibacteraceae	Flexibacter	Flexibacter flexilis
