taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
269069		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum aminovorans	2
2691357		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae			3
2691532		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae		Isosphaeraceae bacterium	2
2692213		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Chelativorans	Chelativorans sp. ZYF759	1
2692424		Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Acidiluteibacter	Acidiluteibacter ferrifornacis	1
2692765		Cyanobacteriota					Cyanobacteria bacterium FACHB-502	1
2692831		Cyanobacteriota	Cyanophyceae	Nodosilineales	Nodosilineaceae	Nodosilinea	Nodosilinea sp. FACHB-13	1
2704465		Bacteroidota	Cytophagia	Cytophagales	Rhodocytophagaceae	Rhodocytophaga	Rhodocytophaga rosea	2
2706888		Verrucomicrobiota	Opitutia	Puniceicoccales	Oceanipulchritudinaceae	Oceanipulchritudo	Oceanipulchritudo coccoides	2
270689		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces aculeolatus	2
2707176		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella	Ideonella livida	1
2709302		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Dwa41.01b	1
2709688		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Parasphingorhabdus	Parasphingorhabdus sp.	4
2710596		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma foliorum	1
2711216		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	Paludisphaera rhizosphaerae	1
2712222		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales		Nordella	Nordella sp. HKS 07	1
2712865		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	Paludisphaera soli	1
2713642		Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylicorpusculum		1
2713644		Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylicorpusculum	Methylicorpusculum sp.	2
2714738		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Neorhodopirellula	Neorhodopirellula pilleata	1
2714955		Actinomycetota	Actinomycetes	Motilibacterales	Motilibacteraceae	Motilibacter	Motilibacter aurantiacus	1
2715253		Planctomycetota	Planctomycetia	Pirellulales			Pirellulales bacterium	1
2717303		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Haliscomenobacter	Haliscomenobacter sp.	3
2717365		Chloroflexota	Ktedonobacteria				Ktedonobacteria bacterium brp13	1
2718525		Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absicoccus		1
2720165		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Okeania	Okeania sp. KiyG1	2
2720392		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Mangrovicoccus	Mangrovicoccus sp. HB161399	2
2720406		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		Leptolyngbyaceae cyanobacterium CRU_2_3	1
2720408		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Pleurocapsaceae		Pleurocapsaceae cyanobacterium CSU_1_1	1
2720413		Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	Calothrix sp. CSU_2_0	1
2720415		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae		Nostocaceae cyanobacterium CSU_2_110	2
2720424		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae		Acaryochloridaceae cyanobacterium RL_2_7	2
2720425		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. RL_3_1	2
2720426		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia sp. RM1_1_1	2
2720433		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		Leptolyngbyaceae cyanobacterium RM1_405_57	1
2720436		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia sp. RM2_1_2	1
2720440		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hydrococcaceae	Hydrococcus	Hydrococcus sp. RU_2_2	1
2720445		Cyanobacteriota	Cyanophyceae	Synechococcales			Synechococcales cyanobacterium RU_4_20	2
