taxid	kingdom	phylum	class	order	family	genus	species
2024888		Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales			SAR116 cluster bacterium
2024893		Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae		Acidiferrobacteraceae bacterium
2024894		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		Acidimicrobiaceae bacterium
2026724		Chloroflexota					Chloroflexota bacterium
2026729		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae		Cytophagaceae bacterium
2026730		Bacteroidota	Cytophagia				Cytophagia bacterium
2026735		Myxococcota	Myxococcia				Deltaproteobacteria bacterium
2026742		Gemmatimonadota					Gemmatimonadota bacterium
2026743		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae		Halieaceae bacterium
2026754		Pseudomonadota	Gammaproteobacteria	Legionellales			Legionellales bacterium
2026763		Myxococcota	Myxococcia	Myxococcales			Myxococcales bacterium
2026769		Nitrospinota					Nitrospinota bacterium
2026775		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium
2026776		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales			Candidatus Pelagibacterales bacterium
2026777		Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		Phycisphaeraceae bacterium
2026779		Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae		Planctomycetaceae bacterium
2026780		Planctomycetota					Planctomycetota bacterium
2026781		Candidatus Poribacteria					Candidatus Poribacteria bacterium
2026782		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae		Porticoccaceae bacterium
2026786		Pseudomonadota	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium
2026788		Pseudomonadota	Alphaproteobacteria	Rickettsiales			Rickettsiales bacterium
2026796		Pseudomonadota	Gammaproteobacteria	Thiotrichales			Thiotrichales bacterium
2026798		Deinococcota	Deinococci	Trueperales	Trueperaceae		Trueperaceae bacterium
2026799		Verrucomicrobiota					Verrucomicrobiota bacterium
2026801		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales			Verrucomicrobiales bacterium
202907		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	
2030829		Chloroflexota	Dehalococcoidia				SAR202 cluster bacterium
2033014		Armatimonadota					Armatimonadota bacterium
2035772		Candidatus Omnitrophota					Candidatus Omnitrophota bacterium
203682		Planctomycetota					
203683		Planctomycetota	Planctomycetia				
204428		Chlamydiota					
204441		Pseudomonadota	Alphaproteobacteria	Rhodospirillales			
204455		Pseudomonadota	Alphaproteobacteria	Rhodobacterales			
204457		Pseudomonadota	Alphaproteobacteria	Sphingomonadales			
2044944		Bacteroidota	Sphingobacteriia	Sphingobacteriales			Sphingobacteriales bacterium
2051956		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera sp.
2052143		Chloroflexota	Anaerolineae				Anaerolineae bacterium
2052146		Acidobacteriota	Blastocatellia				Blastocatellia bacterium
2053517		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales			Bdellovibrionales bacterium
2053527		Candidatus Zixiibacteriota					Candidatus Zixiibacteriota bacterium
2053538		Pseudomonadota	Gammaproteobacteria		Candidatus Competibacteraceae		Candidatus Competibacteraceae bacterium
2053541		Bacteroidota	Cytophagia	Cytophagales			Cytophagales bacterium
2053569		Lentisphaerota	Lentisphaeria				Lentisphaeria bacterium
2053570		Candidatus Latescibacterota					Candidatus Latescibacterota bacterium
2053589		Minisyncoccota					Minisyncoccota bacterium
2058185		Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae		
2058949		Evosea	Eumycetozoa	Dictyosteliales			
2062		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae		
2080302		Actinomycetota	Acidimicrobiia				Acidimicrobiia bacterium
2081523		Acidobacteriota	Terriglobia				Terriglobia bacterium
2099671		Candidatus Handelsmaniibacteriota					Candidatus Handelsmanbacteria bacterium
210454		Bacillariophyta	Fragilariophyceae	Rhabdonematales	Grammatophoraceae	Grammatophora	Grammatophora oceanica
2107688		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Pleurocapsa	Pleurocapsa sp. CCALA 161
2157							
2163009		Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon
216307		Mollusca	Gastropoda				
2163881		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	Paenibacillus cremeus
216773		Bacillariophyta	Corethrophyceae	Corethrales	Corethraceae	Corethron	Corethron hystrix
216820		Bacillariophyta	Fragilariophyceae	Cyclophorales	Cyclophoraceae	Cyclophora	Cyclophora tenuis
2200854		Verrucomicrobiota	Opitutia	Puniceicoccales		Candidatus Moanibacter	Candidatus Moanibacter tarae
2201156		Actinomycetota	Acidimicrobiia	Acidimicrobiales			Acidimicrobiales bacterium
2211643		Ascomycota	Sordariomycetes	Xylariales		Monosporascus	Monosporascus sp. CRB-9-2
222805		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare
223472		Arthropoda	Arachnida	Sarcoptiformes			
2268199		Myxococcota		Polyangiales	Polyangiaceae		Polyangiaceae bacterium
227946		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas graminis
228398		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	
229219		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	
231623		Rotifera	Eurotatoria	Philodinida	Philodinidae	Rotaria	
2448052		Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae		Geminicoccaceae bacterium
2483200			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Chrysophaeum	Chrysophaeum taylorii
2483353		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces triticirhizae
2493646		Mollusca	Bivalvia	Unionida	Unionidae	Potamilus	Potamilus streckersoni
24966		Streptophyta	Magnoliopsida	Gentianales	Rubiaceae		
2500179		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Aestuariispiraceae	Hwanghaeella	Hwanghaeella grinnelliae
