taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1432307		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia borealis	3
1441469		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces atroroseus	13
1442368		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea pedrosoi	1
1442369		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella mackenziei	1
1442370		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora bantiana	4
1442371		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea multimorphosa	6
1442378		Ascomycota	Sordariomycetes	Microascales	Microascaceae	Parascedosporium	Parascedosporium putredinis	2
1445577		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum fioriniae	2
1447875		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Helicocarpus	Helicocarpus griseus	2
1447883		Ascomycota	Eurotiomycetes	Onygenales		Polytolypa	Polytolypa hystricis	6
1447943		Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Bimuria	Bimuria novae-zelandiae	9
1447944		Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus androsaceus	16
1448308		Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynespora	Corynespora cassiicola	4
1448310		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus neoniger	2
1448312		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus japonicus	1
1448314		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus eucalypticola	2
1448315		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus uvarum	3
1448316		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ibericus	6
1448317		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus costaricensis	1
1448318		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiicarbonarius	4
1448319		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fijiensis	5
1448320		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ellipticus	3
1448321		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus heteromorphus	3
1448322		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus aculeatinus	2
1450172		Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria	Aaosphaeria arxii	10
1450533		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger	1
1450534		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brunneoviolaceus	5
1450535		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotioniger	2
1450536		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Guyanagaster	Guyanagaster necrorhizus	4
1450537		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus homomorphus	2
1450538		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus violaceofuscus	1
1450541		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus indologenus	4
145971		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum lupini	5
1460502		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum nymphaeae	2
1460663		Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria sporulosa	11
1463999		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis sinoallii	3
1469910		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiobolus	Ophiobolus disseminans	13
147538		Ascomycota						10
147541		Ascomycota	Dothideomycetes					43
147545		Ascomycota	Eurotiomycetes					3
147548		Ascomycota	Leotiomycetes					9
147550		Ascomycota	Sordariomycetes					157
147558		Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Byssothecium	Byssothecium circinans	14
147567		Ascomycota	Dothideomycetes	Pleosporales		Lojkania	Lojkania enalia	8
148305		Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia grisea	3
149040		Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia	Mollisia scopiformis	21
1491008		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma semiorbis	1
1491466		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma guizhouense	2
150365		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acrodontium	Acrodontium crateriforme	9
150366		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces		1
150374		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Escovopsis	Escovopsis weberi	1
1504668		Ascomycota	Dothideomycetes	Aulographales	Rhizodiscinaceae	Rhizodiscina	Rhizodiscina lignyota	32
1506151		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudonomiae	1
1507867		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Oleoguttula	Oleoguttula mirabilis	2
1507870		Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cryoendolithus	Cryoendolithus antarcticus	3
1508187		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Meristemomyces	Meristemomyces frigidus	4
1509407		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nomiae	1
1513339		Ascomycota	Dothideomycetes	Pleosporales	Delitschiaceae	Delitschia	Delitschia confertaspora	8
1517512		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudoviridinutans	1
152316		Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Truncatella	Truncatella angustata	9
1531966		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae		[Torrubiella] hemipterigena	14
153505		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena pura	4
1536484		Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora australis	5
153913		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria luteobubalina	5
153914		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria novae-zelandiae	1
153919		Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula raphanica	2
153920		Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula aciculospora	3
154538		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens	3
155416		Ascomycota	Sordariomycetes	Xylariales		Monosporascus	Monosporascus cannonballus	3
155417		Ascomycota	Sordariomycetes	Xylariales		Monosporascus	Monosporascus ibericus	2
155619		Basidiomycota	Agaricomycetes					49
1561947		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium longicatenatum	1
1562060		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium verhagenii	2
1567552		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma lentiforme	3
1573173		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum incanum	2
157822		Ascomycota	Lecanoromycetes	Lecanorales				5
1578925		Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia pennisetigena	1
158607		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe helianthi	11
160324		Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rhizophaga	1
1612424		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium salamii	1
161662		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria nubilosa	7
1635080		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia obscura	3
1649241		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium rileyi	4
1658174		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus	1
1658444		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Neoarthrinium	Neoarthrinium moseri	10
1664694		Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora attinorum	14
167371		Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinidium	Phellinidium pouzarii	2
1682393		Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium trichocladiopsis	2
168475		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium taxi	1
1690604		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Lithohypha	Lithohypha guttulata	1
1690606		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala bonariae	1
170820		Chordata	Chondrichthyes	Orectolobiformes	Hemiscylliidae	Hemiscyllium	Hemiscyllium ocellatum	1
171627		Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		3
172621		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Imshaugia	Imshaugia aleurites	2
173218		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma aggressivum	2
1738132		Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Roridomyces	Roridomyces roridus	4
1759441		Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	Athelia psychrophila	6
176160		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ambiguus	1
176169		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus granulosus	2
176178		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudodeflectus	1
176275		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana	3
1763456		Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Calycina	Calycina marina	7
176857		Streptophyta	Magnoliopsida	Fagales	Betulaceae	Carpinus	Carpinus fangiana	4
1769247		Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae			5
1769908		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella heteroderae	1
177199		Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta pulveracea	1
1792511		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium robsamsonii	1
179855		Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus variabilis	7
180088		Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon vesiculosus	1
180999		Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia uncialis	1
