taxid	kingdom	phylum	class	order	family	genus	species
1187904		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria burnsii
1187928		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria incomplexa
1187941		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria rosae
1191159		Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Gnomoniopsis	Gnomoniopsis smithogilvyi
1196081		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces amestolkiae
119953		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
1208366		Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium sarcochroum
1209068		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum tabaci
1209926		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum orchidophilum
1209932		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum scovillei
1213857		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum orbiculare
1213859		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum fructicola
1214568		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe amygdali
1214573		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe ampelina
121621		Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	
121627		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces rugulosus
1216348		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum zoysiae
121759		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Paracoccidioides	Paracoccidioides brasiliensis
1220188		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tanneri
1220207		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus puulaauensis
1220924		Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora europaea
122368		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora beticola
1226010		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bertholletiae
1229662		Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis fici
1230097		Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora	Cytospora leucostoma
1231657		Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Clohesyomyces	Clohesyomyces aquaticus
1233474		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae		
123648		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps pusilla
1237075		Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium torreyae
1237896		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum gloeosporioides
1245745		Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
1247861		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium lavendulum
1247875		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	[Emmonsia] crescens
1250544		Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sphaerosporella	Sphaerosporella brunnea
1255046		Ascomycota	Dothideomycetes	Pleosporales			
1260050		Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix curviconia
1263415		Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum
1263869		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Aporhodopirellula	Aporhodopirellula sallentina
